id,Zip,Price,Price of square meter,Building Cond. values,Number of facades,Number of rooms,Living area,Furnished,Kitchen values,Surface of the land,Primary energy consumption,Energy_classes,Terrace,Terrace surface,Garden,Garden surface,Open fire,Swimming pool
10584164,1140,219000,3128.57,4.0,2.0,2.0,70.0,0.0,1.0,,155.0,6,1,3.0,0,0.0,0.0,0.0
10582798,1180,275000,3055.56,1.0,2.0,2.0,90.0,0.0,0.0,,195.0,6,1,1.0,0,0.0,0.0,0.0
10582121,1702,332000,2990.99,3.0,,3.0,111.0,0.0,1.0,,222.0,5,1,,0,0.0,0.0,0.0
10572916,1420,335000,3252.43,4.0,4.0,2.0,103.0,0.0,3.0,,93.0,7,1,7.0,0,0.0,0.0,0.0
10584442,2060,365000,5214.29,3.0,2.0,2.0,70.0,0.0,3.0,,120.0,6,1,35.0,0,0.0,0.0,0.0
10582149,1200,425000,3971.96,2.0,3.0,2.0,107.0,0.0,1.0,,542.0,2,1,27.0,0,0.0,0.0,0.0
10581974,1190,525000,4007.63,4.0,2.0,2.0,131.0,0.0,3.0,,117.0,6,1,1.0,1,1.0,0.0,0.0
10572661,1200,540000,4500.0,4.0,3.0,3.0,120.0,0.0,3.0,,73.0,7,1,10.0,0,0.0,0.0,0.0
10592763,9800,325000,3421.05,4.0,,2.0,95.0,0.0,3.0,,,0,1,16.0,0,0.0,0.0,0.0
10592752,9800,420000,5121.95,4.0,,2.0,82.0,0.0,3.0,,,0,1,29.0,1,,0.0,0.0
10590121,8370,425000,5902.78,3.0,2.0,2.0,72.0,1.0,2.0,,134.0,6,1,,0,0.0,0.0,0.0
10590076,1060,590000,6413.04,4.0,1.0,2.0,92.0,0.0,3.0,,61.0,7,0,0.0,0,0.0,0.0,0.0
10589751,1050,635000,5162.6,3.0,,3.0,123.0,0.0,3.0,,125.0,6,1,8.0,0,0.0,0.0,0.0
10576343,1930,299000,3833.33,4.0,,2.0,78.0,0.0,1.0,,345.0,4,1,6.0,0,0.0,0.0,0.0
10595019,3001,163000,6037.04,2.0,2.0,1.0,27.0,0.0,2.0,,82.0,7,1,10.0,0,0.0,0.0,0.0
10595120,1070,229000,2602.27,3.0,2.0,2.0,88.0,0.0,1.0,,445.0,3,0,0.0,0,0.0,0.0,0.0
10582157,1050,499000,6160.49,4.0,,1.0,81.0,0.0,2.0,,45.0,7,1,9.0,0,0.0,0.0,0.0
10582154,1050,1410000,7663.04,4.0,2.0,3.0,184.0,0.0,2.0,,45.0,7,1,23.0,0,0.0,0.0,0.0
10595000,8300,1750000,13358.78,3.0,2.0,3.0,131.0,0.0,3.0,,107.0,6,1,,0,0.0,0.0,0.0
10581425,9270,189000,2907.69,3.0,,1.0,65.0,0.0,,,183.0,6,0,0.0,0,0.0,0.0,0.0
10579542,1030,210000,4200.0,3.0,2.0,1.0,50.0,0.0,1.0,,178.0,6,0,0.0,0,0.0,0.0,0.0
10579918,9230,223000,2027.27,3.0,2.0,2.0,110.0,0.0,,,256.0,5,1,,0,0.0,0.0,0.0
10580399,1410,265000,3312.5,0.0,2.0,2.0,80.0,0.0,1.0,,170.0,6,1,16.0,0,0.0,1.0,0.0
10581233,1000,275000,3197.67,3.0,2.0,2.0,86.0,0.0,1.0,,609.0,1,1,7.0,0,0.0,0.0,0.0
10581234,1000,285000,3313.95,3.0,2.0,2.0,86.0,0.0,1.0,,215.0,5,1,7.0,0,0.0,0.0,0.0
